Id,Icon,Name_DE,Name_EN,Name_PRT,Name_ESP,Calories_a_100g,Weight_per_piece,GroupId,Fat_a_100g,Saturated_fat_a_100g,Carbohydrates_a_100g,Sugar_a_100g,Salt_a_100g,Protein_a_100g,Fiber_a_100g,Name_ID,Name_NL,Name_SE,Name_DK,Name_NO,Name_MS,Genus_DE,Genus_EN,Genus_ESP,Genus_PRT,Genus_ID,Genus_MS,Genus_NL,Genus_SE,Genus_DK,Genus_NO,is_liquid,is_hard,is_soft,is_fat
1,NULL,Zucker,Sugar,Açúcar,Azúcar,400,0,8,0.00,0.00,100.00,100.00,0.00,0.00,0.00,Gula,Suiker,Socker,Sukker,Sukker,Gula,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
2,🍜,Pasta,Pasta,Massa,Pasta,357,0,8,1.50,0.30,73.00,3.50,0.01,12.50,3.00,Pasta,Pasta,Pasta,Pasta,Pasta,Pasta,F,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
3,🍚,Reis,Rice,Arroz,Arroz,350,0,8,0.60,0.30,78.00,0.30,0.01,7.40,1.40,Beras,Rijst,Ris,Ris,Ris,Beras,M,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
4,🥬,Salat,Lettuce,Alface,Lechuga,14,250,2,0.20,0.00,1.60,1.60,0.01,1.20,1.80,Selada,Sla,Sallad,Salat,Salat,Salad,M,-,F,M,-,-,DE,EN,ET,ET,0,1,0,0
5,NULL,Mehl,Flour,Farinha,Harina,348,0,8,1.00,0.10,72.00,0.70,0.01,10.50,2.80,Tepung,Bloem,Mjöl,Mel,Mel,Tepung,N,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
6,🦐,Garnelen,Shrimp,Camarão,Gambas,85,0,6,0.50,0.10,0.00,0.00,0.40,20.00,0.00,Zaitun,Garnalen,Räkor,Rejer,Reker,Udang,F,-,F,M,-,-,PL,EN,EN,EN,0,1,0,0
7,NULL,Basilikum (frisch),Basil,Manjericão (Fresco),Albahaca (Fresca),23,30,5,0.60,0.10,2.70,0.30,0.01,3.20,1.60,Mentega,Basilicum (vers),Basilika (färsk,Basilikum (frisk),Basilikum (frisk),Selasih (segar),PL,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
8,NULL,Basilikum (getrocknet),Dried Basil,Manjericão seco,Albahaca seca,233,2,5,4.10,2.20,48.00,1.70,0.08,23.00,37.00,Minyak,Basilicum (gedroogd),Basilika (torkad,Basilikum (tørret),Basilikum (tørket),Selasih (kering),N,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
9,🍋,Zitronensaft,Lemon juice,Sumo de limão,Zumo de limón,29,5,5,0.30,0.10,7.00,2.50,0.01,0.40,0.40,Susu,Citroensap,Citronsaft,Citronsaft,Sitronsaft,Jus lemon,M,-,M,M,-,-,DE,ET,ET,ET,1,0,0,0
10,🍶,Olivenöl,Olive oil,Azeite (de oliva),Aceite de oliva,884,5,7,100.00,14.00,0.00,0.00,0.00,0.00,0.00,Telur,Olijfolie,Olivolja,Olivenolie,Olivenolje,Minyak zaitun,N,-,F,M,-,-,DE,EN,EN,EN,0,1,0,1
11,🧅,Zwiebeln,Onion,Cebola,Cebolla,40,100,2,0.20,0.00,7.90,4.20,0.01,1.20,1.70,Daging sapi,Uien,Lök,Løg,Løk,Bawang besar,F,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
12,🧅,Zwiebeln (rot),Red onion,Cebola roxa,Cebolla roja,42,100,2,0.10,0.00,9.30,4.20,0.01,1.10,1.70,Daging babi,Rode uien,Rödlök,Rødløg,Rødløk,Bawang merah,F,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
13,🍃,Lorbeerblätter (getrocknet),Bay leaf,Louro,Laurel,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Daging ayam,Laurierblaadjes (gedroogd),Lagerblad (torkade,Laurbærblade (tørrede),Laurbærblad (tørket),Daun salam (kering),F,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
14,🍅,Tomatenmark,Tomato paste,Extrato de tomate,Concentrado de tomate,77,10,5,0.50,0.10,14.00,10.00,0.10,4.00,2.50,Bawang,Tomatenpuree,Tomatpuré,Tomatkoncentrat,Tomatpuré,Pes tomato,N,-,M,M,-,-,DE,EN,ET,EN,0,0,1,0
15,🥕,Karotten,Carrot,Cenoura,Zanahoria,41,90,2,0.20,0.00,10.00,4.70,0.10,0.90,2.80,Bawang putih,Wortelen,Morötter,Gulerødder,Gulrøtter,Lobak merah,F,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
16,NULL,Honig,Honey,Mel,Miel,304,10,7,0.00,0.00,82.00,82.00,0.01,0.30,0.20,Kentang,Honing,Honung,Honning,Honning,Madu,N,-,M,M,-,-,DE,EN,EN,EN,0,0,1,0
17,NULL,Petersilie (frisch),Parsley,Salsa,Perejil,36,40,5,0.80,0.10,6.30,0.90,0.03,3.00,3.30,Wortel,Peterselie (vers),Persilja (färsk,Persille (frisk),Persille (frisk),Pasli (segar),F,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
18,NULL,Petersilie (getrocknet),Dried parsley,Salsa seca,Perejil seco,0,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Paprika,Peterselie (gedroogd),Persilja (torkad,Persille (tørret),Persille (tørket),Pasli (kering),F,-,M,F,-,-,DE,EN,EN,EN,0,1,0,0
19,NULL,Feta,Feta cheese,Queijo Feta,Queso Feta,264,0,3,21.30,14.90,0.70,0.70,2.50,14.20,0.00,Zucchini,Feta,Fetaost,Feta,Fetaost,Keju Feta,M,-,F,F,-,-,DE,ET,EN,ET,0,1,0,0
20,🥔,Kartoffeln,Potato,Batata,Patata,73,90,2,0.10,0.00,15.50,0.80,0.01,2.00,2.10,Tomat,Aardappelen,Potatis,Kartofler,Poteter,Kentang,F,-,F,F,-,-,PL,EN,EN,EN,0,1,0,0
21,🍎,Apfel,Apple,Maçã,Manzana,54,150,4,0.20,0.10,14.00,10.00,0.01,0.30,2.40,Tomat ceri,Appel,Äpple,Æble,Eple,Epal,M,-,F,M,-,-,DE,EN,EN,EN,0,1,0,0
22,🍗,Hähnchenbrustfilet,Chicken breast,Peito de frango,Pechuga de pollo,106,180,1,1.20,0.40,0.00,0.00,0.15,23.10,0.00,Timun,Kipfilet,Kycklingbröstfilé,Kyllingebrystfilet,Kyllingbrystfilet,Isi dada ayam,N,-,M,M,-,-,DE,EN,ET,ET,0,1,0,0
23,🍗,Ganzes Hähnchen,Whole Chicken,Frango inteiro,Pollo entero,215,1300,1,15.00,4.30,0.00,0.00,0.15,19.00,0.00,Jamur,Hele kip,Hel kyckling,Hel kylling,Hel kylling,Ayam bulat,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
24,🍗,Hähnchenschenkel,Chicken leg,Coxa e sobrecoxa de frango,Trasero de pollo,214,250,1,15.50,4.40,0.00,0.00,0.20,17.50,0.00,Brokoli,Kippenpoten,Kycklinglår,Kyllingelår,Kyllinglår,Peha ayam,N,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
25,🍗,Hähnchenflügel,Chicken wings,Asas de frango,Asas de frango,222,45,1,16.00,4.50,0.00,0.00,0.20,18.30,0.00,Kembang kol,Kippenvleugels,Kycklingvingar,Kyllingevinger,Kyllingvinger,Kepak ayam,N,-,M,M,-,-,DE,EN,EN,EN,0,1,0,0
26,NULL,Hokkaido,Hokkaido pumpkin,Abóbora Hokkaido,Calabaza Hokkaido,63,500,2,0.50,0.10,14.50,5.50,0.01,1.70,2.50,Bayam,Hokkaido pompoen,Hokkaido-pumpa,Hokkaido-græskar,Hokkaido-gresskar,Labu Hokkaido,M,-,M,M,-,-,PL,EN,EN,EN,0,1,0,0
27,NULL,Butter,Butter," Manteiga",Mantequilla,742,5,3,82.00,53.00,0.60,0.60,0.02,0.70,0.00,Kacang polong,Boter,Smör,Smør,Smør,Mentega,F,-,F,F,-,-,DE,EN,EN,EN,0,1,0,1
28,🍾,Weiswein (trocken),White wine," Vinho branco",Vino blanco,82,0,7,0.00,0.00,2.60,0.60,0.01,0.10,0.00,Jagung,Witte wijn (droog),Vitt vin (torrt,Hvidvin (tør),Hvitvin (tørr),Wain putih (kering),M,-,M,M,-,-,DE,ET,EN,EN,1,0,0,0
29,🍶,Kürbiskernöl,Pumpkin seed oil,Óleo de semente de abóbora,Aceite de semillas de calabaza,896,0,7,99.60,18.00,0.00,0.00,0.00,0.00,0.00,Kacang merah,Pompoenpitolie,Pumpakärnolja,Græskarkerneolie,Gresskarkjerneolje,Minyak biji labu,N,-,F,F,-,-,DE,EN,EN,EN,0,1,0,1
30,🥩,Kalbschnitzel,Veal cutlet,Escalope de vitela,Escalope de ternera,106,180,1,2.00,0.80,0.00,0.00,0.10,21.30,0.00,Kacang putih,Kalfsschnitzel,Kalvschnitzel,Kalveschnitzel,Kalveschnitzel,Schnitzel daging anak lembu,N,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
31,NULL,Kalbshaxe,"Veal knuckle ",Ossobuco de vitela,Ossobuco de ternera,115,900,1,2.50,1.00,0.00,0.00,0.15,22.00,0.00,Kacang hitam,Kalfsschenkel,Kalvlägg,Kalveskank,Kalveskank,Betis anak lembu,M,-,F,F,-,-,DE,EN,EN,EN,0,1,0,0
32,🥛,Milch,Milk,Leite,"Leche ",64,0,3,3.50,2.30,4.70,4.70,0.11,3.30,0.00,Buncis,Melk,Mjölk,Mælk,Melk,Susu,F,-,M,M,-,-,DE,EN,EN,EN,1,0,0,0
33,🥛,Sahne,Whipping cream,"Creme de leite ",Nata,292,0,3,30.00,19.00,3.20,3.20,0.08,2.30,0.00,Lentil,Room,Grädde,Fløde,Fløte,Krim,F,-,F,M,-,-,DE,EN,EN,EN,1,0,0,0
34,🥛,Schmand,Sour cream,Creme azedo,Crema agria,240,0,3,24.00,15.60,3.50,3.50,0.10,2.60,0.00,Buncis mung,Zure room (Schmand),Gräddfil,Creme fraiche,Rømme,Krim masam (Schmand),M,-,F,M,-,-,DE,EN,EN,EN,0,0,1,0
