======================================================================
FEHLENDE ZUTATEN – Noch nicht in IngredientsAndNutrients (neues System)
Stand: 2026-02-17 | Basierend auf: recipe_schema_export_20260216_221020.json
Gesamt fehlend: 571 | Bereits vorhanden: 108 | Total: 679
======================================================================

Sortiert nach Verwendungshaeufigkeit in Rezepten (absteigend)
Format: [Anzahl Rezepte] Name  (alte ID)

HOCH PRIORISIERT – 37 Zutaten (>= 30 Rezepte)
--------------------------------------------------
  [ 351x]  Öl                                             (ID=48)
  [ 267x]  Paprikapulver (edelsüß)                        (ID=522)
  [ 150x]  Kreuzkümmel                                    (ID=78)
  [ 136x]  Hähnchenbrustfilets                            (ID=794)
  [ 123x]  Tomaten (gehackt, aus der Dose, 400g.)         (ID=498)
  [ 120x]  Backpulver                                     (ID=65)
  [ 117x]  Koriander                                      (ID=77)
  [  95x]  Paprika (rot)                                  (ID=932)
  [  83x]  Thymian (getrocknet)                           (ID=1268)
  [  80x]  Rinderbrühe                                    (ID=300)
  [  74x]  Pflanzliche Milch                              (ID=249)
  [  72x]  Hackfleisch (Rind oder gemischt)               (ID=483)
  [  60x]  Passierte Tomaten                              (ID=152)
  [  60x]  Hühnerbrühe                                    (ID=468)
  [  59x]  Avocados                                       (ID=846)
  [  58x]  Rindfleisch                                    (ID=119)
  [  55x]  Zimt                                           (ID=86)
  [  51x]  Vanilleextrakt                                 (ID=62)
  [  49x]  Senf                                           (ID=51)
  [  47x]  Haferflocken                                   (ID=85)
  [  46x]  Kakaopulver                                    (ID=64)
  [  45x]  Rosmarin                                       (ID=161)
  [  45x]  Geriebener Käse                                (ID=285)
  [  43x]  Bacon                                          (ID=123)
  [  43x]  Vanillezucker                                  (ID=538)
  [  42x]  Spaghetti                                      (ID=109)
  [  38x]  Knoblauchpulver                                (ID=46)
  [  35x]  gemischte Beeren                               (ID=646)
  [  34x]  Feta                                           (ID=23)
  [  33x]  Paprika (gelb)                                 (ID=72)
  [  32x]  Trockenhefe                                    (ID=82)
  [  30x]  Ahornsirup                                     (ID=60)
  [  30x]  Cherrytomaten                                  (ID=637)
  [  30x]  Burger-Brötchen                                (ID=141)
  [  30x]  BBQ-Sauce                                      (ID=122)
  [  30x]  Quinoa                                         (ID=202)
  [  30x]  Quark                                          (ID=297)

MITTEL PRIORISIERT – 61 Zutaten (10–29 Rezepte)
--------------------------------------------------
  [  29x]  Jackfruit                                      (ID=749)
  [  28x]  Vegane Sahne                                   (ID=345)
  [  27x]  Linsen                                         (ID=155)
  [  26x]  Sesamöl                                        (ID=415)
  [  25x]  Kurkuma                                        (ID=76)
  [  25x]  Schwarze Bohnen                                (ID=125)
  [  24x]  Schweinefilet                                  (ID=262)
  [  24x]  Gnocchi                                        (ID=375)
  [  23x]  Sesam                                          (ID=420)
  [  23x]  Cheddar                                        (ID=324)
  [  23x]  Schmand                                        (ID=806)
  [  22x]  Mais                                           (ID=171)
  [  21x]  Veganer Käse                                   (ID=219)
  [  21x]  Tagliatelle                                    (ID=19)
  [  20x]  Butterschmalz                                  (ID=40)
  [  20x]  Dill                                           (ID=129)
  [  20x]  Himbeeren                                      (ID=1209)
  [  20x]  Minze Blätter                                  (ID=934)
  [  20x]  Dunkle Schokoladenraspeln                      (ID=550)
  [  19x]  Chiliflocken                                   (ID=500)
  [  18x]  Kräuter der Provence                           (ID=175)
  [  18x]  Erbsen                                         (ID=159)
  [  18x]  Dunkle Schokolade                              (ID=506)
  [  17x]  Walnüsse                                       (ID=215)
  [  17x]  Schweinebraten                                 (ID=260)
  [  16x]  Currypulver                                    (ID=75)
  [  16x]  Hähnchenschenkel                               (ID=450)
  [  16x]  Italienische Kräuter                           (ID=576)
  [  16x]  Butternut-Kürbis                               (ID=777)
  [  15x]  Apfelmus                                       (ID=180)
  [  15x]  Tortilla                                       (ID=381)
  [  15x]  Chia-Samen                                     (ID=728)
  [  14x]  Sauerrahm                                      (ID=35)
  [  14x]  Maisstärke                                     (ID=45)
  [  14x]  Oliven                                         (ID=196)
  [  14x]  Rindersteak                                    (ID=299)
  [  14x]  Guacamole                                      (ID=328)
  [  14x]  Eigelb                                         (ID=566)
  [  13x]  Rote Linsen                                    (ID=372)
  [  13x]  Balsamico-Essig                                (ID=292)
  [  13x]  Schweinefleisch                                (ID=263)
  [  13x]  Hefe                                           (ID=293)
  [  13x]  Wacholderbeeren                                (ID=740)
  [  13x]  Rinderbraten                                   (ID=573)
  [  12x]  Kichererbsenmehl                               (ID=163)
  [  12x]  Kokosraspeln                                   (ID=190)
  [  12x]  Rinderrouladen                                 (ID=272)
  [  12x]  Taco-Shells                                    (ID=327)
  [  12x]  Penne                                          (ID=578)
  [  12x]  Paprika (grün)                                 (ID=862)
  [  12x]  Hanfsamen                                      (ID=785)
  [  11x]  Blaubeeren                                     (ID=221)
  [  11x]  Gewürzgurken                                   (ID=266)
  [  11x]  Schinken                                       (ID=308)
  [  11x]  Rosinen                                        (ID=379)
  [  10x]  Sellerie Stange                                (ID=95)
  [  10x]  Erdbeeren                                      (ID=183)
  [  10x]  Vegane Bechamelsauce                           (ID=238)
  [  10x]  Jalapeños                                      (ID=443)
  [  10x]  Apfelessig                                     (ID=837)
  [  10x]  Vegane Butter                                  (ID=738)

NIEDRIG PRIORISIERT – 473 Zutaten (< 10 Rezepte)
--------------------------------------------------
  [   9x]  Dijon-Senf                                     (ID=684)
  [   9x]  Margarine                                      (ID=150)
  [   9x]  Grüne Bohnen                                   (ID=176)
  [   9x]  Kirschen                                       (ID=224)
  [   9x]  Erdnussbutter                                  (ID=358)
  [   9x]  Mürbeteig                                      (ID=406)
  [   9x]  Chilipulver                                    (ID=470)
  [   9x]  Majoran                                        (ID=52)
  [   9x]  Mohn                                           (ID=556)
  [   9x]  Nelken                                         (ID=399)
  [   9x]  Lachsfilets                                    (ID=683)
  [   8x]  Cayennepfeffer                                 (ID=79)
  [   8x]  Kekse                                          (ID=178)
  [   8x]  Maismehl                                       (ID=298)
  [   8x]  Weißkohl                                       (ID=342)
  [   8x]  Kümmel                                         (ID=699)
  [   8x]  Lachs                                          (ID=407)
  [   8x]  Gochujang                                      (ID=414)
  [   8x]  Schmalz                                        (ID=469)
  [   8x]  Pflanzliche Butter                             (ID=507)
  [   8x]  Brötchen                                       (ID=762)
